origin_country_name,dispatch_country_name,commodity_code,steel_product_group,tonnes,value,active_months,origin_dispatch_different
Spain,Spain,72099080,Cold-rolled flat products,0.023,2994,1,False
Poland,Poland,72085198,Hot-rolled flat products,0.023,2434,1,False
United States,France,72230019,Stainless steel wire,0.023,15681,2,True
United States,Norway,72071290,Semi-finished steel,0.023,3825,1,True
Iceland,Iceland,72199080,Stainless steel flat products,0.023,1041,1,False
China,Hong Kong,72021900,Ferro-alloys,0.023,1423,1,True
Poland,Netherlands,72181000,Stainless steel ingots and semi-finished,0.023,4268,1,True
Indonesia,Indonesia,72089080,Hot-rolled flat products,0.023,1062,1,False
Belgium,Belgium,72149995,Other bars and rods,0.023,16579,1,False
China,Poland,72179020,Wire,0.023,4939,1,True
France,Germany,72299090,Alloy steel wire,0.022,2015,1,True
Japan,Japan,72179090,Wire,0.022,7762,2,False
United Kingdom,Malaysia,72042900,Ferrous waste and scrap,0.022,1817,1,True
Poland,Switzerland,72169180,Angles shapes and sections,0.022,919,1,True
Slovenia,Slovenia,72254060,Other alloy flat products,0.022,49625,1,False
Sweden,Germany,72221189,Stainless steel bars sections and wire,0.022,6437,1,True
Germany,France,72119080,Flat products under 600mm,0.022,1064,1,True
Norway,Belgium,72223097,Stainless steel bars sections and wire,0.022,6695,1,True
Spain,Spain,72173049,Wire,0.022,2019,1,False
United States,Belgium,72193410,Stainless steel flat products,0.022,1158,1,True
United Kingdom,Ireland,72223097,Stainless steel bars sections and wire,0.021,3416,2,True
Poland,Poland,72202089,Stainless steel flat products under 600mm,0.021,4859,3,False
Japan,Slovenia,72286080,Other alloy bars rods and sections,0.021,1391,1,True
Norway,Norway,72166900,Angles shapes and sections,0.021,934,1,False
United States,Hungary,72052100,Granules and powders,0.021,1133,1,True
Hungary,France,72111900,Flat products under 600mm,0.021,21181,1,True
Ireland,Ireland,72189180,Stainless steel ingots and semi-finished,0.021,1039,1,False
Unknown / not supplied,Italy,72015090,Pig iron,0.021,98,2,True
India,India,72149995,Other bars and rods,0.021,4185,1,False
CR,Finland,72181000,Stainless steel ingots and semi-finished,0.021,1021,1,True
United States,Sweden,72189980,Stainless steel ingots and semi-finished,0.021,3854,1,True
Poland,Poland,72209020,Stainless steel flat products under 600mm,0.021,7221,1,False
United Kingdom,Israel,72072032,Semi-finished steel,0.02,2046,1,True
Unknown / not supplied,Sweden,72165099,Angles shapes and sections,0.02,102,1,True
Austria,Austria,72092790,Cold-rolled flat products,0.02,1172,1,False
Spain,France,72223097,Stainless steel bars sections and wire,0.02,1676,1,True
Unknown / not supplied,Lithuania,72139110,Hot-rolled bars and rods,0.02,1920,2,True
Poland,Spain,72222021,Stainless steel bars sections and wire,0.02,71660,1,True
Norway,Norway,72269970,Other alloy flat products under 600mm,0.02,2124,1,False
Germany,Austria,72202081,Stainless steel flat products under 600mm,0.02,13597,10,True
China,Hong Kong,72061000,Ingots and primary forms,0.02,5621,1,True
Japan,United States,72222011,Stainless steel bars sections and wire,0.02,1770,1,True
Japan,Germany,72191100,Stainless steel flat products,0.02,2289,1,True
United States,Germany,72286020,Other alloy bars rods and sections,0.02,1653,1,True
China,France,72052100,Granules and powders,0.02,4070,1,True
Finland,Ireland,72224090,Stainless steel bars sections and wire,0.02,1646,1,True
Sweden,Poland,72119080,Flat products under 600mm,0.02,1045,1,True
Denmark,Denmark,72249007,Alloy steel ingots and semi-finished,0.02,1576,1,False
Austria,Norway,72223097,Stainless steel bars sections and wire,0.02,1560,1,True
Unknown / not supplied,Finland,72199080,Stainless steel flat products,0.02,625,1,True
Sweden,United States,72230011,Stainless steel wire,0.02,1374,1,True
Latvia,Latvia,72230099,Stainless steel wire,0.02,1239,1,False
Austria,Austria,72015090,Pig iron,0.02,938,1,False
South Africa,South Africa,72139990,Hot-rolled bars and rods,0.02,1522,1,False
Thailand,Thailand,72230099,Stainless steel wire,0.019999999999999997,46794,2,False
Germany,Finland,72287090,Other alloy bars rods and sections,0.019,986,1,True
Lithuania,Lithuania,72091790,Cold-rolled flat products,0.019,930,1,False
Sweden,Sweden,72119080,Flat products under 600mm,0.019,972,1,False
Taiwan,United States,72201100,Stainless steel flat products under 600mm,0.019,1990,1,True
Poland,Germany,72181000,Stainless steel ingots and semi-finished,0.019,919,1,True
India,Australia,72202089,Stainless steel flat products under 600mm,0.019,1188,1,True
Japan,Japan,72069000,Ingots and primary forms,0.019,1213,1,False
Hungary,Spain,72191490,Stainless steel flat products,0.019,900,1,True
Poland,Poland,72173090,Wire,0.019,15560,2,False
Italy,Italy,72084000,Hot-rolled flat products,0.019,1200,1,False
Switzerland,France,72085191,Hot-rolled flat products,0.019,12564,1,True
United Kingdom,Spain,72052100,Granules and powders,0.019,1970,1,True
United States,Italy,72029980,Ferro-alloys,0.019,9417,2,True
Switzerland,Switzerland,72189980,Stainless steel ingots and semi-finished,0.018000000000000002,27567,9,False
Italy,France,72169900,Angles shapes and sections,0.018,1267,1,True
United Kingdom,United States,72284090,Other alloy bars rods and sections,0.018,1344,1,True
Hungary,Hungary,72015090,Pig iron,0.018,2329,1,False
United Kingdom,Sweden,72171039,Wire,0.018,1055,1,True
Switzerland,Switzerland,72121090,Coated flat products under 600mm,0.018,942,1,False
Germany,China,72091710,Cold-rolled flat products,0.018,1520,1,True
India,United States,72222089,Stainless steel bars sections and wire,0.018,3164,3,True
Poland,Poland,72210090,Stainless steel bars and rods,0.018,1005,1,False
Norway,Norway,72201200,Stainless steel flat products under 600mm,0.018,5069,4,False
United Kingdom,Italy,72287090,Other alloy bars rods and sections,0.018,3701,2,True
China,Hong Kong,72042190,Ferrous waste and scrap,0.017,891,1,True
Switzerland,Germany,72169900,Angles shapes and sections,0.017,1185,1,True
Belgium,Germany,72209080,Stainless steel flat products under 600mm,0.017,2235,1,True
Sweden,France,72169900,Angles shapes and sections,0.017,2273,1,True
United Kingdom,United States,72142000,Other bars and rods,0.017,1701,1,True
Ireland,Ireland,72230099,Stainless steel wire,0.017,7014,3,False
Germany,Sweden,72288000,Other alloy bars rods and sections,0.017,946,1,True
Germany,Switzerland,72223051,Stainless steel bars sections and wire,0.017,1078,1,True
Sweden,United States,72285080,Other alloy bars rods and sections,0.017,6326,1,True
Denmark,France,72142000,Other bars and rods,0.016,1660,1,True
Austria,Finland,72172030,Wire,0.016,945,1,True
Spain,France,72191100,Stainless steel flat products,0.016,4958,1,True
China,Switzerland,72159000,Other bars and rods,0.016,6993,2,True
Unknown / not supplied,Ireland,72202081,Stainless steel flat products under 600mm,0.016,154,1,True
Denmark,Denmark,72181000,Stainless steel ingots and semi-finished,0.016,2796,1,False
United States,Germany,72230019,Stainless steel wire,0.016,58367,6,True
